trajectory_id,site_id,site_label,mode,count,direction,lane,timestamp,longitude,latitude,hour,weekday,date,mode_clean,arrondissement,arrondissement_full
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Autobus et autocars,5,E-O,Voie de circulation générale,2021-02-23 05:00:00+00:00,2.341831,48.8714843,5,Tuesday,2021-02-23,Buses,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules légers < 3,5t",635,E-O,Voie de circulation générale,2021-02-23 06:00:00+00:00,2.341831,48.8714843,6,Tuesday,2021-02-23,"Véhicules légers < 3,5t",2,75002
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Trottinettes + vélos,22,E-O,Voie de circulation générale,2021-02-23 08:00:00+00:00,2.341831,48.8714843,8,Tuesday,2021-02-23,Mixed,2,75002
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),2 roues motorisées,209,E-O,Voie de circulation générale,2021-02-23 08:00:00+00:00,2.341831,48.8714843,8,Tuesday,2021-02-23,Motorcycles,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules légers < 3,5t",653,E-O,Voie de circulation générale,2021-02-23 09:00:00+00:00,2.341831,48.8714843,9,Tuesday,2021-02-23,"Véhicules légers < 3,5t",2,75002
10029_3 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),2 roues motorisées,5,E-O,Piste cyclable,2021-02-23 11:00:00+00:00,2.341831,48.8714843,11,Tuesday,2021-02-23,Motorcycles,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Autobus et autocars,7,E-O,Voie de circulation générale,2021-02-23 12:00:00+00:00,2.341831,48.8714843,12,Tuesday,2021-02-23,Buses,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Trottinettes + vélos,9,E-O,Voie de circulation générale,2021-02-23 15:00:00+00:00,2.341831,48.8714843,15,Tuesday,2021-02-23,Mixed,2,75002
10029_3 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Trottinettes + vélos,130,E-O,Piste cyclable,2021-02-23 16:00:00+00:00,2.341831,48.8714843,16,Tuesday,2021-02-23,Mixed,2,75002
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),"Véhicules légers < 3,5t",175,E-O,Voie de circulation générale,2021-02-23 16:00:00+00:00,2.341831,48.8714843,16,Tuesday,2021-02-23,"Véhicules légers < 3,5t",2,75002
