latitude,longitude,location_type,arrondissement,commercial_score,format_1m2,format_2m2,traffic_count,zone_name,data_source
48.855469,2.291002,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"9, rue Jean Rey",panels
48.89502,2.363866,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"19, rue Tristant Tzara",panels
48.894562,2.351348,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"12, rue des Amiraux",panels
48.842291,2.34061,Civic Panel,75005.0,2.75,0.0,1.0,0,"10, rue Pierre Nicole",panels
48.882984,2.334409,Civic Panel,75009.0,1.75,0.0,1.0,0,"130, boulevard de Clichy",panels
48.867344,2.374589,Civic Panel,75011.0,5.5,0.0,1.0,0,"39, rue des Trois Bornes",panels
48.842109,2.41293,Civic Panel,75012.0,5.0,0.0,1.0,0,"34, boulevard Carnot",panels
48.83755,2.2787,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"97, rue Ballard",panels
48.880446,2.289361,Civic Panel,75017.0,4.5,0.0,1.0,0,"221, boulevard Pereire",panels
48.841234,2.347531,Civic Panel,75005.0,2.75,0.0,1.0,0,"10, rue Vauquelin",panels
48.853577,2.339267,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"60, rue Saint andré des Arts",panels
48.869561,2.360338,Civic Panel,75010.0,2.892664068221247,0.0,1.0,0,"15, rue Lancry",panels
48.836374,2.373575,Civic Panel,75013.0,6.5,1.0,0.0,0,"8 / 10, rue Balanchine",panels
48.843104,2.316507,Civic Panel,75015.0,4.073888089991745,0.0,1.0,0,"20, rue Falguieres",panels
48.850917,2.406499,Civic Panel,75020.0,8.75,0.0,1.0,0,"40, rue des Pyrénées",panels
48.864574,2.26978,Civic Panel,75016.0,3.4789356781958816,0.0,1.0,0,"60, boulevard Lannes",panels
48.870282,2.350113,Civic Panel,75010.0,2.892664068221247,0.0,1.0,0,"26, boulevard Bonne Nouvelle",panels
48.886,2.37918,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"9, rue Tandou",panels
48.858623,2.300202,Civic Panel,75007.0,1.5,0.0,1.0,0,"28, avenue Rapp",panels
48.86105,2.384269,Civic Panel,75011.0,5.5,0.0,1.0,0,"7, rue Duranti",panels
48.873377,2.397987,Civic Panel,75020.0,8.75,1.0,0.0,0,"166, rue Pelleport",panels
48.880462,2.296597,Civic Panel,75017.0,4.5,0.0,1.0,0,"12, rue Foucroy",panels
48.891854,2.330619,Civic Panel,75018.0,5.696806078326992,0.0,1.0,0,"31, rue Joseph de Maistre",panels
